,playerId,action_season,action_date,prediction,gameScore,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_oZoneShiftStarts,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_goals,OnIce_F_mediumDangerShots,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_highDangerGoals,OnIce_F_xGoalsFromActualReboundsOfShots,mean_5years_regular_all_gameScore,mean_5years_regular_all_onIce_xGoalsPercentage,mean_5years_regular_all_offIce_xGoalsPercentage,mean_5years_regular_all_onIce_corsiPercentage,mean_5years_regular_all_onIce_fenwickPercentage,mean_5years_regular_all_I_F_xOnGoal,mean_5years_regular_all_I_F_xGoals,mean_5years_regular_all_I_F_xRebounds,mean_5years_regular_all_I_F_xPlayStopped,mean_5years_regular_all_I_F_xPlayContinuedInZone,mean_5years_regular_all_I_F_flurryAdjustedxGoals,mean_5years_regular_all_I_F_scoreVenueAdjustedxGoals,mean_5years_regular_all_I_F_flurryScoreVenueAdjustedxGoals,mean_5years_regular_all_I_F_primaryAssists,mean_5years_regular_all_I_F_shotsOnGoal,mean_5years_regular_all_I_F_points,mean_5years_regular_all_I_F_goals,mean_5years_regular_all_I_F_reboundGoals,mean_5years_regular_all_I_F_playStopped,mean_5years_regular_all_I_F_playContinuedOutsideZone,mean_5years_regular_all_I_F_savedShotsOnGoal,mean_5years_regular_all_I_F_savedUnblockedShotAttempts,mean_5years_regular_all_I_F_mediumDangerShots,mean_5years_regular_all_I_F_highDangerShots,mean_5years_regular_all_I_F_lowDangerxGoals,mean_5years_regular_all_I_F_mediumDangerxGoals,mean_5years_regular_all_I_F_highDangerxGoals,mean_5years_regular_all_I_F_mediumDangerGoals,mean_5years_regular_all_I_F_highDangerGoals,mean_5years_regular_all_I_F_unblockedShotAttempts,mean_5years_regular_all_I_F_scoreAdjustedUnblockedShotAttempts,mean_5years_regular_all_I_F_xGoalsFromxReboundsOfShots,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds_scoreAdjusted,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,mean_5years_playoffs_all_onIce_corsiPercentage,mean_5years_playoffs_all_onIce_fenwickPercentage,mean_5years_playoffs_all_offIce_fenwickPercentage,mean_5years_playoffs_all_I_F_xGoals,mean_5years_playoffs_all_I_F_xPlayContinuedInZone,mean_5years_playoffs_all_I_F_flurryAdjustedxGoals,mean_5years_playoffs_all_I_F_scoreVenueAdjustedxGoals,mean_5years_playoffs_all_I_F_flurryScoreVenueAdjustedxGoals,mean_5years_playoffs_all_I_F_points,mean_5years_playoffs_all_I_F_highDangerShots,mean_5years_playoffs_all_I_F_lowDangerxGoals,mean_5years_playoffs_all_I_F_highDangerxGoals,mean_5years_playoffs_all_I_F_unblockedShotAttempts,mean_5years_playoffs_all_I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted
0,8477456,2024,2024-06-29,573.89557,30.81,0.44,0.44,0.44,109.13,17.18,8.82,23.84,3.99,50.62,40.55,15.57,17.21,15.59,22.0,108.0,37.0,186.0,48.0,19.0,15.0,5.0,36.0,55.0,89.0,126.0,29.0,28.0,2.87,3.59,10.72,4.0,7.0,8.0,185.69,145.0,144.93,2.1,4.67,4.49,14.79,14.9,14.11,282.0,77.44,84.0,171.0,36.23,23.0,33.0,15.48,34.494,0.47400000000000003,0.534,0.48200000000000004,0.48,102.91199999999999,13.388,8.094,3.5799999999999996,54.43399999999999,12.674,13.556000000000001,12.836000000000002,14.0,103.4,36.4,15.0,2.8,4.0,52.2,88.4,126.6,30.6,18.4,3.3020000000000005,3.7660000000000005,6.32,5.6,5.2,141.6,143.456,1.8739999999999999,12.248000000000001,12.42,12.014,0.4975,0.5025,0.5575,2.9299999999999997,10.117500000000001,2.785,2.975,2.8200000000000003,5.0,4.5,0.535,1.335,26.75,2.5375
1,8477429,2024,2024-06-29,556.55945,21.18,0.38,0.4,0.4,112.96,14.71,7.87,25.85,4.07,54.15,45.35,14.03,14.77,14.09,11.0,109.0,43.0,193.0,33.0,13.0,9.0,3.0,51.0,58.0,96.0,139.0,32.0,22.0,3.15,4.29,7.26,4.0,5.0,4.0,193.82,152.0,152.61,1.77,2.32,3.75,12.73,12.77,12.48,187.0,51.85,59.0,120.0,22.0,23.0,15.0,11.08,35.728,0.458,0.496,0.46799999999999997,0.46399999999999997,125.744,16.625999999999998,8.992,4.454,63.428,15.580000000000002,16.657999999999998,15.612,14.6,129.6,38.6,13.8,2.6,3.6,70.4,115.8,158.2,40.8,21.4,3.508,5.206,7.909999999999999,4.6,5.6,172.0,172.53199999999998,2.022,14.452000000000002,14.494,14.032000000000002,0.48333333333333334,0.4666666666666666,0.47333333333333333,2.5033333333333334,11.89,2.36,2.526666666666667,2.3766666666666665,6.0,2.6666666666666665,0.64,1.1333333333333333,30.333333333333332,2.3633333333333337
2,8479337,2024,2024-06-29,639.10345,65.76,0.57,0.56,0.56,257.9,27.01,17.37,58.11,8.59,140.11,98.8,25.33,27.02,25.35,26.0,237.0,113.0,482.0,67.0,27.0,29.0,2.0,109.0,139.0,210.0,323.0,74.0,26.0,8.22,8.69,10.11,9.0,10.0,8.0,479.22,350.0,347.74,3.94,6.58,4.2,26.75,26.77,25.36,317.0,94.25,107.0,223.0,40.99,37.0,37.0,21.33,60.529999999999994,0.568,0.43200000000000005,0.562,0.558,223.73000000000002,25.396,15.64,7.15,122.73000000000002,24.305999999999997,25.428,24.338,21.4,226.4,62.0,29.0,2.8,5.0,115.0,197.4,274.6,70.6,23.6,7.256,8.379999999999999,9.761999999999999,9.0,10.6,303.6,303.28599999999994,3.5799999999999996,24.919999999999998,24.944,24.296,0.48,0.49,0.41,2.76,12.55,2.73,2.81,2.79,6.0,2.0,0.85,1.32,31.0,3.1
3,8478432,2024,2024-06-29,540.6853,8.58,0.46,0.4,0.42,88.04,9.59,6.12,20.88,2.98,44.43,33.0,9.06,9.49,8.98,8.0,86.0,31.0,139.0,19.0,5.0,16.0,3.0,37.0,45.0,81.0,112.0,23.0,13.0,2.44,2.85,4.29,0.0,1.0,4.0,137.79,117.0,116.68,1.29,3.3,3.36,7.51,7.51,7.45,132.0,37.24,34.0,84.0,15.5,11.0,11.0,9.45,8.312000000000001,0.43199999999999994,0.4619999999999999,0.41200000000000003,0.422,81.9,8.802000000000001,5.664000000000001,2.6260000000000003,41.303999999999995,8.466,8.782,8.452000000000002,6.0,82.8,15.2,6.4,1.6,1.8,41.4,76.4,102.2,21.8,11.0,2.276,2.74,3.782,2.4,3.2,108.6,108.28600000000002,1.2040000000000002,7.986,7.994,7.886,0.39,0.4,0.41,0.86,5.75,0.83,0.87,0.84,1.0,0.0,0.53,0.0,15.0,0.81
4,8474141,2024,2024-06-29,617.571,41.18,0.56,0.55,0.55,143.02,11.69,9.81,32.99,4.63,80.43,54.44,11.19,11.57,11.07,18.0,147.0,47.0,266.0,47.0,20.0,15.0,3.0,62.0,64.0,127.0,174.0,42.0,8.0,4.54,4.94,2.21,7.0,10.0,3.0,263.34,194.0,192.17,2.26,3.44,1.44,12.51,12.39,12.09,200.0,57.63,63.0,135.0,24.83,19.0,20.0,13.29,57.946000000000005,0.526,0.422,0.5359999999999999,0.532,207.97200000000004,17.438,14.654000000000002,6.68,121.69200000000001,16.962,17.375999999999998,16.9,30.4,224.6,69.4,23.0,2.6,5.8,98.2,201.6,264.4,47.6,13.4,7.039999999999999,5.654,4.746,7.8,5.0,287.4,286.01599999999996,3.3579999999999997,18.96,18.898,18.546,0.56,0.56,0.41000000000000003,2.12,14.31,2.055,2.13,2.07,7.5,2.5,0.65,0.84,34.5,2.09
5,8477353,2024,2024-06-29,531.66907,11.98,0.38,0.42,0.43,89.64,7.87,5.62,20.42,3.09,44.89,41.11,7.68,7.97,7.78,2.0,83.0,40.0,177.0,9.0,6.0,9.0,1.0,48.0,48.0,77.0,117.0,26.0,7.0,2.65,3.1,2.11,1.0,5.0,0.0,176.97,123.0,122.83,1.19,1.4,1.68,7.37,7.42,7.35,75.0,25.55,19.0,61.0,8.19,5.0,4.0,5.41,12.114,0.396,0.516,0.39999999999999997,0.41600000000000004,76.556,7.51,4.924,2.532,38.541999999999994,7.3420000000000005,7.564,7.394000000000001,4.0,74.0,12.0,6.2,0.8,1.4,43.8,67.8,97.6,24.4,6.8,2.2920000000000003,2.936,2.28,2.8,2.0,103.8,103.93599999999999,1.036,7.068,7.106,7.034000000000001,0.36250000000000004,0.375,0.4875,1.99,9.0875,1.9625,2.02,1.9949999999999999,2.0,1.75,0.5325000000000001,0.6699999999999999,25.0,2.0875000000000004
6,8475765,2024,2024-06-29,600.2016,52.34,0.56,0.56,0.57,163.0,15.62,11.52,40.23,5.6,86.6,58.44,14.56,15.59,14.54,20.0,155.0,63.0,314.0,55.0,23.0,21.0,4.0,78.0,66.0,132.0,195.0,42.0,18.0,4.39,5.22,6.0,9.0,7.0,7.0,312.32,218.0,217.57,2.64,4.13,4.71,13.54,13.45,13.17,264.0,76.36,83.0,172.0,33.69,35.0,23.0,20.05,36.93,0.518,0.46399999999999997,0.542,0.5479999999999999,129.524,13.37,9.52,4.1,72.418,12.9,13.472,13.0,14.6,129.0,42.2,16.4,2.0,3.0,59.6,112.6,158.4,42.2,11.2,4.215999999999999,5.08,4.072,7.4,4.6,174.8,175.502,2.16,13.431999999999999,13.496,13.264,0.516,0.506,0.46799999999999997,2.5340000000000003,12.558,2.404,2.536,2.408,4.8,2.6,0.704,0.796,31.4,2.33
7,8475279,2024,2024-06-29,533.12646,8.27,0.4,0.4,0.4,107.1,4.92,5.63,29.28,3.61,59.8,49.75,4.81,4.87,4.75,9.0,107.0,46.0,232.0,20.0,5.0,2.0,1.0,58.0,67.0,102.0,148.0,8.0,3.0,2.85,0.82,1.25,2.0,2.0,1.0,228.05,153.0,150.2,1.17,0.46,0.67,5.43,5.36,5.28,150.0,58.65,72.0,155.0,19.38,27.0,19.0,11.41,18.546,0.418,0.528,0.43999999999999995,0.434,107.98800000000001,5.06,6.132,3.6399999999999997,62.848,4.851999999999999,5.029999999999999,4.824,7.6,114.2,18.6,5.8,0.6,2.8,62.4,108.4,150.6,7.8,3.6,2.998,0.8800000000000001,1.18,1.2,1.0,156.4,155.17,1.286,5.514,5.494,5.372000000000001,0.41333333333333333,0.4166666666666667,0.5599999999999999,0.9533333333333333,11.816666666666668,0.9233333333333333,0.9566666666666667,0.93,1.6666666666666667,1.0,0.52,0.29,30.0,1.05
8,8476979,2024,2024-06-29,583.79895,39.32,0.55,0.57,0.56,108.54,4.58,6.02,30.24,3.52,63.39,46.25,4.39,4.58,4.4,15.0,93.0,61.0,240.0,31.0,6.0,5.0,1.0,57.0,61.0,87.0,148.0,6.0,2.0,3.11,0.7,0.78,5.0,0.0,1.0,238.27,154.0,153.16,1.27,0.96,1.0,4.86,4.84,4.69,178.0,69.12,68.0,184.0,22.6,28.0,16.0,15.81,29.798000000000002,0.522,0.4720000000000001,0.5599999999999999,0.548,92.446,4.484,5.692,3.0020000000000002,56.06,4.3180000000000005,4.4719999999999995,4.308,11.6,86.0,26.4,4.6,0.8,1.8,47.2,81.4,129.0,9.4,2.0,2.6239999999999997,1.0660000000000003,0.796,0.8,1.0,133.6,132.81,1.25,5.144,5.112,4.944000000000001,0.59,0.5925,0.4325,0.4525,7.8950000000000005,0.4425,0.455,0.4425,2.5,0.0,0.3575,0.0,18.5,0.615
9,8475718,2024,2024-06-29,536.369,1.35,0.42,0.43,0.42,19.15,0.61,0.94,6.02,0.62,10.74,8.08,0.6,0.59,0.58,2.0,14.0,13.0,47.0,5.0,0.0,1.0,0.0,11.0,9.0,14.0,27.0,1.0,0.0,0.52,0.09,0.0,0.0,0.0,0.0,46.08,27.0,26.25,0.19,0.03,0.08,0.72,0.71,0.7,81.0,18.91,29.0,50.0,5.16,16.0,5.0,4.09,19.683999999999997,0.472,0.558,0.45599999999999996,0.462,55.577999999999996,2.9139999999999997,3.19,1.8119999999999998,32.64,2.7139999999999995,2.9640000000000004,2.7600000000000002,4.6,56.6,16.8,1.8,0.6,1.4,31.8,54.8,77.6,4.8,2.6,1.454,0.6359999999999999,0.8260000000000002,0.6,0.4,79.4,80.07000000000001,0.6539999999999999,2.8099999999999996,2.8440000000000003,2.7039999999999997,0.43999999999999995,0.4425,0.5525,0.11499999999999999,3.3099999999999996,0.11499999999999999,0.11499999999999999,0.11249999999999999,0.75,0.0,0.11499999999999999,0.0,7.75,0.175
10,8476874,2024,2024-06-29,532.9189,17.15,0.48,0.46,0.45,52.17,2.92,2.7,14.96,1.74,27.97,21.72,2.72,2.85,2.66,4.0,48.0,24.0,123.0,18.0,4.0,3.0,0.0,22.0,29.0,44.0,68.0,3.0,4.0,1.39,0.27,1.26,3.0,0.0,1.0,122.65,72.0,71.56,0.55,0.51,1.05,2.41,2.4,2.34,157.0,42.19,48.0,108.0,13.94,19.0,8.0,10.06,14.95,0.466,0.492,0.45200000000000007,0.4600000000000001,58.61999999999999,2.548,3.306,1.9460000000000002,34.550000000000004,2.4400000000000004,2.5279999999999996,2.422,4.2,58.8,14.0,3.0,0.0,2.2,33.2,55.8,81.4,3.4,2.0,1.5639999999999996,0.392,0.5900000000000001,0.6,0.4,84.4,84.07600000000001,0.6699999999999999,2.7,2.6860000000000004,2.632,0.435,0.43999999999999995,0.475,0.49,4.445,0.485,0.495,0.49,3.0,0.5,0.225,0.17,11.0,0.57
11,8473507,2024,2024-06-29,539.2304,12.4,0.41,0.42,0.42,87.97,3.73,4.81,24.93,3.08,50.58,37.87,3.67,3.7,3.63,8.0,84.0,41.0,198.0,24.0,3.0,9.0,0.0,43.0,52.0,81.0,122.0,8.0,1.0,2.29,1.05,0.39,3.0,0.0,0.0,194.86,125.0,123.2,1.01,1.56,0.13,4.6,4.56,4.48,150.0,51.03,57.0,144.0,15.28,25.0,10.0,12.62,37.506,0.48,0.502,0.504,0.49800000000000005,117.47,5.626,7.4220000000000015,4.052,71.148,5.406000000000001,5.614,5.39,10.6,121.4,32.8,7.4,0.4,3.8,71.0,114.0,164.4,8.4,3.0,3.4019999999999997,0.9799999999999999,1.246,1.2,1.2,171.8,170.796,1.6239999999999999,6.558,6.532000000000001,6.354000000000001,0.5449999999999999,0.535,0.445,0.96,15.35,0.925,0.97,0.94,4.5,0.5,0.79,0.115,37.0,1.1
12,8481556,2024,2024-06-29,543.4453,1.31,0.32,0.32,0.33,37.25,5.03,2.61,7.67,1.13,17.29,14.28,4.81,5.17,4.95,3.0,38.0,10.0,57.0,10.0,7.0,4.0,2.0,13.0,18.0,31.0,41.0,9.0,10.0,1.05,1.23,2.75,4.0,1.0,2.0,59.9,48.0,49.71,0.55,0.94,1.69,3.89,4.03,4.01,25.0,13.94,14.0,32.0,5.15,9.0,2.0,2.72,1.31,0.32,0.51,0.32,0.33,37.25,5.03,2.61,1.13,17.29,4.81,5.17,4.95,3.0,38.0,10.0,7.0,2.0,0.0,18.0,31.0,41.0,9.0,10.0,1.05,1.23,2.75,1.0,2.0,48.0,49.71,0.55,3.89,4.03,4.01,0.29,0.32,0.47,2.46,6.03,1.99,2.51,2.03,2.0,5.0,0.29,1.58,18.0,1.3
13,8477887,2024,2024-06-29,564.5792,-0.46,0.29,0.39,0.4,7.27,0.55,0.44,1.89,0.29,4.18,3.65,0.55,0.55,0.55,0.0,7.0,4.0,14.0,1.0,0.0,1.0,0.0,6.0,2.0,7.0,11.0,1.0,1.0,0.24,0.09,0.22,0.0,0.0,0.0,14.55,11.0,11.44,0.09,0.2,0.0,0.64,0.65,0.65,3.0,1.9,2.0,5.0,0.43,1.0,0.0,0.2,3.35,0.4600000000000001,0.518,0.466,0.508,26.808,2.274,1.7559999999999998,0.9019999999999999,14.734000000000004,2.166,2.2720000000000002,2.16,1.6,25.0,4.6,1.8,0.8,1.0,13.8,23.2,35.8,7.0,2.6,0.752,0.776,0.744,0.8,0.8,37.6,37.616,0.364,2.04,2.038,2.008,0.4833333333333334,0.5466666666666666,0.5399999999999999,0.66,3.646666666666667,0.6233333333333334,0.67,0.6333333333333333,1.0,0.6666666666666666,0.21333333333333335,0.24666666666666667,9.333333333333334,0.5
14,8475745,2024,2024-06-29,609.00507,45.95,0.47,0.45,0.45,157.24,22.41,11.8,33.22,5.09,77.51,58.97,21.41,22.52,21.5,18.0,147.0,62.0,254.0,60.0,25.0,13.0,1.0,69.0,78.0,122.0,184.0,51.0,32.0,4.2,6.49,11.72,5.0,11.0,9.0,257.42,209.0,211.24,2.73,2.89,3.64,21.5,21.56,20.9,298.0,80.46,80.0,196.0,36.46,20.0,35.0,14.2,38.65599999999999,0.49000000000000005,0.542,0.484,0.48600000000000004,133.36399999999998,16.125999999999998,9.754,4.236,68.124,15.163999999999998,16.25,15.280000000000001,14.4,128.4,40.4,15.8,2.2,3.0,69.6,112.6,162.6,45.6,17.8,3.9659999999999997,5.642,6.5200000000000005,5.6,5.8,178.4,181.198,2.188,15.672000000000002,15.807999999999998,15.357999999999999,0.46799999999999997,0.47400000000000003,0.528,2.354,10.878,2.216,2.3899999999999997,2.252,4.2,2.6,0.51,0.9179999999999999,27.8,2.0759999999999996
15,8479365,2024,2024-06-29,564.4294,31.96,0.49,0.45,0.46,129.02,16.58,9.8,31.38,4.82,63.58,47.83,15.58,16.76,15.73,14.0,123.0,51.0,230.0,40.0,18.0,27.0,4.0,46.0,63.0,105.0,156.0,53.0,19.0,3.38,6.97,6.24,8.0,3.0,7.0,235.94,174.0,177.67,2.12,6.07,6.15,12.56,12.72,12.44,166.0,53.27,53.0,147.0,20.07,15.0,19.0,16.89,18.669999999999998,0.43800000000000006,0.534,0.434,0.454,78.374,9.04,5.466,2.668,38.726,8.638,9.187999999999999,8.776,6.0,77.6,18.8,9.4,2.4,1.8,36.8,68.2,95.6,29.2,10.4,2.118,3.774,3.1500000000000004,3.0,2.8,105.0,107.274,1.1640000000000001,7.286,7.384,7.267999999999999,0.47,0.48333333333333334,0.49333333333333335,1.5533333333333335,4.733333333333333,1.4766666666666666,1.5333333333333332,1.4566666666666668,1.6666666666666667,1.6666666666666667,0.16333333333333333,0.6133333333333334,13.0,1.3166666666666667
16,8479987,2024,2024-06-29,578.7526,31.32,0.54,0.5,0.51,128.51,13.56,8.89,28.76,4.18,66.75,48.85,12.84,13.66,12.93,10.0,130.0,41.0,211.0,39.0,17.0,17.0,1.0,54.0,66.0,113.0,154.0,39.0,17.0,3.69,4.64,5.24,6.0,7.0,4.0,213.44,171.0,173.05,1.96,3.82,3.06,12.47,12.55,12.21,230.0,63.43,69.0,190.0,22.6,15.0,29.0,16.97,20.15,0.5740000000000001,0.53,0.54,0.548,69.376,7.286,4.866,2.366,37.321999999999996,6.859999999999999,7.362,6.9319999999999995,6.6,68.4,20.4,7.8,1.2,1.6,36.8,60.6,87.0,22.8,7.6,2.12,2.728,2.4400000000000004,3.0,1.8,94.8,95.74,1.066,6.710000000000001,6.76,6.590000000000001,0.5425,0.53,0.46499999999999997,1.2325,7.2075000000000005,1.1724999999999999,1.2449999999999999,1.1800000000000002,2.5,1.0,0.40499999999999997,0.3075,18.0,1.1
17,8477496,2024,2024-06-29,613.6822,42.17,0.46,0.5,0.5,180.88,20.5,13.65,39.74,6.12,100.8,69.19,19.9,20.46,19.87,14.0,173.0,77.0,308.0,44.0,15.0,16.0,1.0,85.0,101.0,158.0,235.0,36.0,30.0,5.7,4.23,10.57,4.0,2.0,9.0,307.99,250.0,248.97,3.17,2.23,2.43,21.23,21.25,20.77,332.0,75.48,71.0,166.0,32.05,29.0,27.0,9.21,63.489999999999995,0.538,0.516,0.542,0.538,173.406,21.125999999999998,13.36,5.808000000000001,96.066,20.252,21.125999999999998,20.25,17.6,179.2,58.0,25.4,3.0,4.4,86.2,153.8,214.4,56.6,24.2,5.3100000000000005,6.85,8.964,8.8,8.0,239.8,240.036,3.096,20.318,20.346,19.72,0.5033333333333333,0.5,0.5066666666666667,3.2066666666666666,16.063333333333336,3.096666666666667,3.19,3.08,8.666666666666666,3.0,0.9633333333333334,1.3699999999999999,39.666666666666664,3.3266666666666667
18,8473419,2024,2024-06-29,621.7261,63.56,0.56,0.54,0.53,219.6,26.84,15.51,47.55,7.24,114.63,82.23,25.92,27.12,26.2,21.0,207.0,87.0,389.0,67.0,29.0,14.0,3.0,90.0,115.0,178.0,265.0,67.0,31.0,6.09,8.06,12.69,9.0,8.0,12.0,397.37,294.0,300.08,3.61,3.48,4.14,26.32,26.57,26.05,375.0,101.7,105.0,260.0,44.77,30.0,41.0,18.45,81.05600000000001,0.61,0.4779999999999999,0.6,0.5980000000000001,190.13400000000001,23.658,13.752,6.168000000000001,99.314,22.625999999999998,23.968,22.916,28.4,192.0,74.2,27.8,5.8,5.0,85.0,164.2,226.6,59.4,28.0,5.532,7.336000000000001,10.790000000000001,9.0,12.2,254.4,258.25,3.168,22.098000000000003,22.304000000000002,21.645999999999997,0.5980000000000001,0.608,0.46399999999999997,3.636,14.334,3.472,3.6380000000000003,3.472,11.0,4.2,0.734,1.9599999999999997,36.8,3.0420000000000003
19,8477956,2024,2024-06-29,684.1032,113.07,0.63,0.59,0.59,382.96,37.46,27.63,86.97,13.08,218.09,146.76,36.18,37.82,36.54,39.0,382.0,148.0,718.0,110.0,47.0,39.0,5.0,206.0,181.0,335.0,483.0,95.0,36.0,12.57,11.37,13.52,15.0,15.0,17.0,727.31,530.0,537.93,6.27,8.44,4.81,38.92,39.24,38.19,417.0,121.41,136.0,308.0,50.85,40.0,51.0,23.13,99.886,0.634,0.466,0.62,0.62,309.23,31.796,21.976,10.2,175.824,30.542,32.04,30.786,29.6,311.0,88.6,43.2,3.8,9.2,149.6,267.8,383.8,87.4,28.6,9.895999999999999,10.517999999999999,11.38,15.0,13.0,427.0,432.26399999999995,5.04,33.376,33.614,32.676,0.632,0.6319999999999999,0.44799999999999995,4.4799999999999995,24.848000000000003,4.274,4.512,4.302,8.8,4.6,1.328,1.654,60.2,4.42
20,8478401,2024,2024-06-29,592.0918,53.17,0.52,0.52,0.52,155.08,18.46,13.23,31.65,4.97,85.25,57.43,17.82,18.58,17.95,18.0,148.0,63.0,258.0,59.0,21.0,16.0,2.0,83.0,69.0,127.0,190.0,68.0,18.0,4.73,8.5,5.23,6.0,9.0,6.0,261.34,211.0,212.69,3.14,3.43,3.27,18.32,18.42,18.07,383.0,86.48,100.0,218.0,34.23,31.0,33.0,16.6,38.7,0.508,0.496,0.512,0.51,126.81800000000001,15.25,9.306000000000001,4.178,68.748,14.707999999999998,15.3,14.756,14.6,125.4,43.8,16.4,2.2,4.0,67.2,109.0,157.4,49.8,14.6,4.12,6.078,5.054,5.4,5.2,173.8,174.85399999999998,2.124,14.671999999999997,14.716000000000003,14.37,0.5349999999999999,0.5549999999999999,0.46499999999999997,2.08,9.6,2.02,2.1,2.0300000000000002,6.0,2.0,0.6,0.595,25.0,2.09
21,8478443,2024,2024-06-29,531.5668,7.47,0.4,0.38,0.38,82.45,2.68,4.37,22.32,2.79,49.3,39.55,2.64,2.72,2.67,8.0,79.0,42.0,174.0,14.0,4.0,4.0,0.0,35.0,55.0,75.0,117.0,5.0,0.0,2.09,0.59,0.0,3.0,1.0,0.0,177.86,121.0,123.35,0.88,0.92,0.02,3.54,3.6,3.55,65.0,58.82,69.0,143.0,22.86,24.0,22.0,13.13,20.416,0.44799999999999995,0.5660000000000001,0.44799999999999995,0.45199999999999996,84.074,3.3579999999999997,4.556,2.8240000000000003,49.376,3.2980000000000005,3.3920000000000003,3.3340000000000005,4.8,90.2,13.4,4.0,0.0,3.6,50.0,86.2,119.4,5.2,1.0,2.266,0.608,0.484,0.8,0.4,123.4,124.97,0.924,4.116,4.16,4.096,0.41600000000000004,0.43,0.548,0.6599999999999999,7.4879999999999995,0.6060000000000001,0.6460000000000001,0.5940000000000001,2.0,0.8,0.34800000000000003,0.25999999999999995,18.8,0.6239999999999999
22,8476854,2024,2024-06-29,553.77905,29.42,0.5,0.48,0.48,96.82,6.1,5.81,27.13,3.32,55.33,40.3,5.85,6.1,5.85,6.0,99.0,39.0,225.0,26.0,3.0,7.0,0.0,58.0,40.0,96.0,135.0,8.0,7.0,2.69,1.28,2.13,1.0,0.0,2.0,225.7,138.0,138.35,1.27,1.42,0.89,6.49,6.5,6.31,171.0,87.26,86.0,195.0,38.7,27.0,37.0,17.58,31.064,0.51,0.496,0.49799999999999994,0.506,101.99600000000001,5.368,6.217999999999999,3.412,61.07199999999999,5.208,5.37,5.212000000000001,10.2,107.4,27.0,4.4,0.2,1.4,54.0,103.0,144.4,9.2,4.0,2.8899999999999997,1.1460000000000001,1.334,0.6,1.4,148.8,149.24200000000002,1.328,6.236,6.242,6.096,0.5299999999999999,0.5466666666666666,0.48,0.41333333333333333,5.926666666666667,0.38999999999999996,0.4166666666666667,0.38999999999999996,1.3333333333333333,0.3333333333333333,0.25666666666666665,0.12333333333333334,15.666666666666666,0.49666666666666676
23,8482511,2024,2024-06-29,546.3116,8.63,0.49,0.47,0.46,41.26,2.1,2.42,10.97,1.48,23.8,18.24,2.05,2.1,2.05,3.0,43.0,16.0,102.0,13.0,4.0,5.0,1.0,12.0,30.0,39.0,55.0,2.0,2.0,1.2,0.24,0.66,2.0,2.0,0.0,103.88,59.0,59.3,0.5,1.22,0.85,1.75,1.77,1.73,112.0,30.82,32.0,85.0,10.1,13.0,7.0,7.92,8.63,0.49,0.51,0.47,0.46,41.26,2.1,2.42,1.48,23.8,2.05,2.1,2.05,3.0,43.0,13.0,4.0,1.0,0.0,30.0,39.0,55.0,2.0,2.0,1.2,0.24,0.66,2.0,0.0,59.0,59.3,0.5,1.75,1.77,1.73,0.49,0.51,0.42,0.53,8.77,0.53,0.55,0.55,4.0,0.0,0.53,0.0,21.0,0.73
